level1	MM-ED-DNA-A-12-2023.reads.qc	MM-ED-DNA-A-4-2023.reads.qc	MM-ED-DNA-A-9-2022.reads.qc	MM-ED-DNA-O-12-2023.reads.qc	MM-ED-DNA-O-4-2023.reads.qc	MM-ED-DNA-O-9-2022.reads.qc	MM-HC-DNA-A-12-2023.reads.qc	MM-HC-DNA-A-4-2023.reads.qc	MM-HC-DNA-A-9-2022.reads.qc	MM-HC-DNA-O-12-2023.reads.qc	MM-HC-DNA-O-4-2023.reads.qc	MM-HC-DNA-O-9-2022.reads.qc	ZH-ED-DNA-A-12-2023.reads.qc	ZH-ED-DNA-A-4-2023.reads.qc	ZH-ED-DNA-A-9-2022.reads.qc	ZH-ED-DNA-O-12-2023.reads.qc	ZH-ED-DNA-O-4-2023.reads.qc	ZH-ED-DNA-O-9-2022.reads.qc	ZH-HC-DNA-A-12-2023.reads.qc	ZH-HC-DNA-A-4-2023.reads.qc	ZH-HC-DNA-A-9-2022.reads.qc	ZH-HC-DNA-O-12-2023.reads.qc	ZH-HC-DNA-O-4-2023.reads.qc	ZH-HC-DNA-O-9-2022.reads.qc
BAC0487|pmrA|sp|Q70FH0|PMRA_PECSS	0.000159459386926799	0.000261881901128683	1.46817586254335e-05	9.58326944517044e-05	0.000289603612517449	3.24206136550119e-05	1.91261002514623e-05	0	0	0	0	0	0.000204897975789584	0.000379729680752498	0.000340361796661892	0.000221615385911552	0.000287687172002418	0.000207490496851988	2.11141463439939e-05	6.05627961935864e-05	8.80115151284549e-05	9.96154620648897e-05	2.333627536435e-05	0
BAC0490|G2alt|tr|B0FSM1|B0FSM1_9BACI	0	2.67989136553543e-05	0	0	0	0	0	0	0	0	0	3.16266400069234e-05	2.06340968372459e-05	0	0	0	0	0	0	0	2.28154212331245e-05	0	0	2.17397137431407e-05
BAC0491|kdeA|tr|A6T6T9|A6T6T9_KLEP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.12419521597613e-05	0	0	7.03094156668405e-05
BAC0492|kexD|tr|A6TA71|A6TA71_KLEP7	0	2.02612053341e-05	2.99050409656504e-06	0	1.29086457073171e-05	0	0	0	0	0	1.17512586817848e-05	0	1.09829850699213e-05	2.91457156097692e-05	7.46026915815479e-06	1.49788971544754e-05	1.2559419713305e-05	4.17858571107167e-06	0	0	9.91763794691334e-06	0	1.09801896801046e-05	8.02918726485192e-06
BAC0494|eefA|tr|A8CY69|A8CY69_KLEPN	0	0	0	0	6.5869660681039e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.15690061103518e-05	0	0	2.56923889691663e-05
BAC0498|ideR|sp|P0A672|IDER_MYCTU	8.44592082821438e-05	0	4.82491831597322e-05	0	1.28009268466672e-05	3.60789192162885e-05	0.000343933561175964	0.000265066021917421	3.77994488436778e-05	0.000297066335046972	0.00026958920188886	8.69887295712167e-05	7.43500337124675e-05	2.29368619425047e-05	8.12805662403757e-05	2.41430050409091e-05	0	1.62179995328672e-05	0.000111862135326238	0.000148558024687216	0.000129252254545589	4.27335895234889e-05	4.85529810334215e-05	0.000146223205046255
BAC0499|emrAsm|tr|B2FIC9|B2FIC9_STRMK	4.96799620925696e-05	1.47625734047878e-05	3.6333483359488e-05	0.000130261138593944	6.54371521413472e-05	0.000155129797533815	0	3.32416494225773e-05	0	0	0	2.08973225033024e-05	8.47048051591064e-05	6.73919950515094e-05	2.90587521623369e-05	8.22336553378139e-05	0	9.42523068893361e-05	1.29872594814795e-05	0	0	1.06811320294344e-05	0	0
BAC0500|emrBsm|tr|B2FID0|B2FID0_STRMK	0	1.92290906423159e-05	0	0	1.67284839473492e-05	0.000162454147112768	0	0	0	1.17422053731039e-05	0	4.05403509274353e-05	0	0	0	0	0	0	1.95305853681943e-05	0	0	0	2.15860547120237e-05	0
BAC0501|emrCsm|tr|B2FIC8|B2FIC8_STRMK	0	0	0	0	5.92397017048987e-06	6.64451823943883e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC0502|emrRsm|tr|B2FIC7|B2FIC7_STRMK	0	0	0	0	0	2.82250048290692e-05	0	0	0	0	0	0.000143831289187949	0	0	0	0	0	0	0	0	0	0	0	0
BAC0503|farA|tr|Q9RQ30|Q9RQ30_NEIGO	0	0	0	1.01244566156147e-05	1.28102096072522e-05	0	9.83953645688779e-06	0	0	4.56015534058756e-05	0	0	1.18632964113125e-05	0	0	2.56504109394024e-05	0	0	0	0	2.66614218090129e-05	0	0	0
BAC0506|pcm|tr|R4IUI7|R4IUI7_STEMA	0	0	0	0	2.79469689106167e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC0507|tolCsm|tr|R4ITT0|R4ITT0_STEMA	0	0	0	0	6.5137459617997e-06	5.37648875173199e-05	0	0	0	0	0	2.64811885920802e-05	0	0	0	0	0	0	0	1.09588478440654e-05	0	0	0	0
BAC0508|adeL|tr|A3M732|A3M732_ACIBT	0	0	0	0	8.37994423862853e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70584591874748e-05
BAC0511|vmeD|tr|Q87TN1|Q87TN1_VIBPA	0	1.13895383035256e-05	0	9.13240821097114e-06	2.88874919028009e-06	0	1.29580928375919e-05	4.10342591622161e-06	4.0961518121947e-06	5.96142734326811e-06	6.10867713926917e-06	0	5.37131333294557e-06	3.55080266609929e-05	0	1.03582777396669e-05	1.83597344701781e-05	4.17054996931961e-06	1.50235272063033e-05	0	1.01005771084145e-05	2.4611191883019e-05	0	4.71396854124225e-06
BAC0513|vmeF|tr|Q87R57|Q87R57_VIBPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.87414561777256e-06	5.06489883932067e-06	0	0	0
BAC0515|vmeZ|tr|Q87GX5|Q87GX5_VIBPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96559722797019e-06	0	0	0	0	0	0
BAC0519|vmeI|tr|Q87QH1|Q87QH1_VIBPA	0	0	0	0	0	8.19700043438602e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAC0521|vmeK|tr|Q87LY6|Q87LY6_VIBPA	0.000126118889211263	2.30612132124528e-05	1.45832233326454e-05	6.30144922461334e-05	5.70327165160571e-06	7.95604162967052e-06	0.00020354718388421	0.000336598631557729	4.48447152436883e-05	7.14526764120828e-05	0.000370948394336291	2.87319534089743e-05	5.46516706739135e-06	0	0	0	1.21204475782893e-05	8.31710828013882e-06	0.000223506296217418	0.000140537086446092	0.000141303490608147	0.000212225398754096	8.45505549857983e-05	0.000174573215039891
BAC0523|vmeQ|tr|Q87IY5|Q87IY5_VIBPA	0	0	0	0	0	7.12371058783391e-06	0	0	0	0	0	0	0	4.63176573740437e-06	0	0	0	0	9.55990411903967e-06	0	0	1.41926108449685e-05	0	4.31197428323191e-06
BAC0527|vexA|tr|Q9KVI1|Q9KVI1_VIBCH	2.67954340996649e-05	0	0	0	0	0	0	0	0	0	0	0	0	2.83785154135581e-05	0	0	0	0	0	0	0	0	0	0
BAC0529|kpnO|tr|C4XBC3|C4XBC3_KLEPN	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47483316935311e-05	0	0	0	0	0	0	0.000100153448413079	0	1.51398082363783e-05	4.02947447908926e-05
BAC0530|phoB|tr|C4X6T6|C4X6T6_KLEPN	0	0	0	0	5.7804236961959e-05	0	0	0	0	0	2.46615286365094e-05	0	0	0	0	0	0	1.68370557411182e-05	0	0	2.17183717065318e-05	0	0	6.08161612308114e-05
BAC0531|phoR|tr|C4X6T5|C4X6T5_KLEPN	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16208124867872e-05	0	0	0	0	0	0	0	0	0	3.97828033611723e-05
BAC0532|cpxA|tr|C4WZK5|C4WZK5_KLEPN	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15437160760965e-05	0	0	0	0	0	0	5.70052701926098e-05	0	0	2.14552616319122e-05
BAC0533|cpxR|tr|C4WZK6|C4WZK6_KLEPN	0.000111783159219912	2.34443346501142e-05	1.50524187877751e-05	5.36292799423581e-05	8.08052876950071e-05	8.97847136372977e-05	8.99170447728978e-05	8.07112979299043e-05	0.000194862675935511	0.000140162763925818	0.000158277931118857	0.000289596758757361	0.000287465432069325	0.000104878438051671	5.59676096352898e-05	0.000235040479247402	2.66772836177855e-05	0.000224720737312373	0.00010012231119787	0.000130719543249055	0.000118629536659516	0.000119152115185375	4.31721094240475e-05	0.000186380563082357
BAC0536|oxyRkp|tr|C4WZN6|C4WZN6_KLEPN	0	0	0	0	0	0	2.84478588772284e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	1.72206560536903e-05	0	0	0.000126340539159117
