gene	MM-ED-DNA-A-12-2023.reads.qc	MM-ED-DNA-A-4-2023.reads.qc	MM-ED-DNA-A-9-2022.reads.qc	MM-ED-DNA-O-12-2023.reads.qc	MM-ED-DNA-O-4-2023.reads.qc	MM-ED-DNA-O-9-2022.reads.qc	MM-HC-DNA-A-12-2023.reads.qc	MM-HC-DNA-A-4-2023.reads.qc	MM-HC-DNA-A-9-2022.reads.qc	MM-HC-DNA-O-12-2023.reads.qc	MM-HC-DNA-O-4-2023.reads.qc	MM-HC-DNA-O-9-2022.reads.qc	ZH-ED-DNA-A-12-2023.reads.qc	ZH-ED-DNA-A-4-2023.reads.qc	ZH-ED-DNA-A-9-2022.reads.qc	ZH-ED-DNA-O-12-2023.reads.qc	ZH-ED-DNA-O-4-2023.reads.qc	ZH-ED-DNA-O-9-2022.reads.qc	ZH-HC-DNA-A-12-2023.reads.qc	ZH-HC-DNA-A-4-2023.reads.qc	ZH-HC-DNA-A-9-2022.reads.qc	ZH-HC-DNA-O-12-2023.reads.qc	ZH-HC-DNA-O-4-2023.reads.qc	ZH-HC-DNA-O-9-2022.reads.qc
AY232670.1.gene2.p01	0.0001882501042929	0	0	4.53299534835481e-05	2.86774010525993e-05	0	0	0	0	0	0	0	5.44107064895788e-05	5.24331922221321e-05	0	0.0001060097403159	0.0001256979939901	0	5.07287931641414e-05	4.92320357691252e-05	0	0	5.60676745766853e-05	0
AY339985.2.gene4.p01	0.0004826562824352	0.0004366985167189	3.45972622540077e-05	0.0008477362906228	0.0003660966404167	0	8.31595321338654e-05	7.92736152236008e-05	0	5.75840659783172e-05	0	0.0001574257620344	0.001400865124357	0.001298953606349	0.0009226545098441	0.0016782453095403	0.0010090307788243	0.0013092686281393	0.0006017597076912	0.0013708149749015	0.0001375679839484	0.0005429762298877	0.0005592325257901	0.0001784944917857
BAE98117	0.0002711697930886	0.000673018172481	0.0014744680448114	0.000975673284503	0.0006623114052624	0.0009622160737182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001102797601228	0	0	0	0.0002183853062379
CAI43343	0	0.0001272148908365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAQ86961	0	6.3230177058719e-05	0	0	0	0	0	0	0	0	0	0	4.99018375735639e-05	0	0	0	0	0	0	0	5.49528906880578e-05	0	0	0
EU675686.2.gene7.p01	0.000850792679142	0.0026611063621366	0.0006618751727905	0.000817116564093	0.0016208318101417	0.0001028696456993	0.0002242763764305	0.0001058073459389	0.0001056197822648	0.000153716143066	0	0.0003227583560293	0.0013934793921746	0.0039425947227972	0.0019199403436772	0.0009554644127181	0.0025825224219801	0.0012689501460369	0.0010201099134461	0.000616564113414	0.0002552357402205	0.0013783569203482	0.0022435225128794	0.0003573577738438
FM897214.1.orf2.gene.p01	9.07186216878257e-05	0.0002417371395034	0	0.0002678352680113	0	7.95945136179766e-05	9.41503074117638e-05	0	0	0.0004858684946546	0	0	0.0007045409194593	0.0004952489782687	0.0002972352087618	0.0003087407484631	0.0001290499404965	0.0001717599299364	0.0003916533385835	0.0005661027686305	0.000107146921966	0.0001023825582333	0.0001128231126281	0
KF478993.1.gene2.p01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001480186608824	0
KJ363320.1.gene3.p01	0.0001678987416666	0.0001330020941283	0	0	0	0	0	0	0	0	0	0	0	0.0003067766878985	0	0.0001260656371325	0.0002242180433338	0.0001477050994539	0.0001182392195263	5.73752806044508e-05	0	0	6.53415710201803e-05	0
M58472.1.gene1.p01	0	8.50128217870815e-05	0	6.13488092258545e-05	8.36603880331469e-05	6.0771541497997e-05	0.0002649881998642	6.25070249907799e-05	0	0	0	0	0	0	5.61386065402695e-05	0	0	6.10137492162286e-05	0	0	0	0	0.0002478781402337	0
NC_008702.1.4609191.p01	0.0034453303309867	0.0027051837595602	0.0007456427655498	0.002924697841718	0.0021246591903562	0.0007505787837704	0.0006839670619837	0.0007958901441384	0.0003300493911828	0.0010799500306148	0.0009119824331114	0.0002199042393484	0.0008783916167391	0.000950412530098	0.0004983193001092	0.0009948809173855	0.0009919248636773	0.0007304451486735	0.0024702705921574	0.0005421368364263	0.0002147546201285	0.0024261725810077	0.0001169291597281	0.0002380861813623
NC_010558.1.6275948.p01	5.73118153690212e-05	0	0	5.57595178438948e-05	1.72850088536215e-05	0	2.65532696165329e-05	0	2.29681582504149e-05	0	3.65516462251065e-05	4.10341728465565e-05	0	0.0001257822003005	6.33718078213093e-05	6.32442789584365e-05	0	1.93526577049917e-05	0.0001651117980246	0.0002326449734098	0.0002053639059209	7.69371866176322e-05	0.0002886025945059	0.0003309925464966
NC_010558.1.6275994.p01	0	6.78155715782444e-05	0	0	0.0001355374658254	0	0	0	0	0	0	0	0	5.30095570831998e-05	0.000132555677672	0.0001246221374707	0.000226174144039	0.0008691298791024	0	0	6.01408407981938e-05	0	0.0001819160641379	0
P00384	0	0	0	0	0	0	0	0	0	0	0	0	0.0001841593142724	0.0001904803762572	0.0001203381411991	0.000619360937011	0	0.0001334575990182	0	0	0	0	0.0002213954329438	0
P13249	0	0	0	0	0	5.23368179996318e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
